Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
join query,20,1,1,8,1.53,0.00%,19.2,0.00,.0
Setup JSR223 Sampler,20,1,1,3,0.58,0.00%,20.1,0.00,.0
/jobs,20,48998,5396,120399,33007.74,5.00%,.2,0.15,949.6
Debug Sampler,40,0,0,1,0.38,0.00%,.0,0.01,546.4
/resources/file/queryFile,19,396,190,2511,509.75,0.00%,.2,0.12,624.9
/jobs/id,278,42515,2161,123591,27998.56,1.80%,.2,0.19,999.5
/resources/file/logFile,273,220,170,683,63.67,0.00%,.2,0.18,935.4
Query Transaction Controller,20,695484,120421,1431334,437869.34,65.00%,.0,0.41,29913.7
/jobs/jobId/results,14,74480,716,123567,53250.66,50.00%,.0,0.01,1154.3
Cleanup JSR223 Sampler,7,1,1,1,0.00,0.00%,.0,0.00,10.0
TOTAL,711,39126,0,1431334,136912.43,3.66%,.5,0.82,1688.4
